Ba_3d_BE	Ba_3d_cps	O_1s_(2)_BE	O_1s_(2)_cps	O_1s_BE	O_1s_cps	C_1s_BE	C_1s_cps	N_1s_BE	N_1s_cps	Cl_2p_BE	Cl_2p_cps	Au_4f_BE	Au_4f_cps	overview_BE	overview_cps	
NaN	NaN	NaN	NaN	547.2	8920.775	282.2	3833.0357	NaN	NaN	NaN	NaN	82.2	3387.5	1072.0	7945
NaN	NaN	NaN	NaN	547.1	8942.975	282.1	3843.3571	NaN	NaN	NaN	NaN	82.1	3358.75	1071.0	7890
NaN	NaN	NaN	NaN	547.0	8945.425	282.0	3824.9107	NaN	NaN	NaN	NaN	82.0	3234.375	1070.0	7720
NaN	NaN	NaN	NaN	546.9	8944.375	281.9	3820.3036	NaN	NaN	NaN	NaN	81.9	3217.5	1069.0	7860
NaN	NaN	NaN	NaN	546.8	9005.325	281.8	3810.375	NaN	NaN	NaN	NaN	81.8	3092.5	1068.0	7605
NaN	NaN	NaN	NaN	546.7	8993.3	281.7	3823.4464	NaN	NaN	NaN	NaN	81.7	2994.375	1067.0	7785
NaN	NaN	NaN	NaN	546.6	9001.2	281.6	3812.8214	NaN	NaN	NaN	NaN	81.6	2962.5	1066.0	7985
NaN	NaN	NaN	NaN	546.5	8976.35	281.5	3818.75	NaN	NaN	NaN	NaN	81.5	2900.0	1065.0	7840
NaN	NaN	NaN	NaN	546.4	8971.775	281.4	3839.0357	NaN	NaN	NaN	NaN	81.4	2814.375	1064.0	7815
NaN	NaN	NaN	NaN	546.3	8939.2	281.3	3805.5179	NaN	NaN	NaN	NaN	81.3	2843.75	1063.0	7905
NaN	NaN	NaN	NaN	546.2	8902.425	281.2	3803.9643	NaN	NaN	NaN	NaN	81.2	2768.125	1062.0	7910
NaN	NaN	NaN	NaN	546.1	8893.0	281.1	3808.4643	NaN	NaN	NaN	NaN	81.1	2688.75	1061.0	8065
NaN	NaN	NaN	NaN	546.0	8875.5	281.0	3808.75	NaN	NaN	NaN	NaN	81.0	2789.375	1060.0	7755
NaN	NaN	NaN	NaN	545.9	8841.45	280.9	3790.3571	NaN	NaN	NaN	NaN	80.9	2661.25	1059.0	7450
NaN	NaN	NaN	NaN	545.8	8814.275	280.8	3810.4286	NaN	NaN	NaN	NaN	80.8	2688.75	1058.0	7450
NaN	NaN	NaN	NaN	545.7	8761.075	280.7	3809.625	NaN	NaN	NaN	NaN	80.7	2612.5	1057.0	7640
NaN	NaN	NaN	NaN	545.6	8704.05	280.6	3792.25	NaN	NaN	NaN	NaN	80.6	2685.625	1056.0	7745
NaN	NaN	NaN	NaN	545.5	8656.375	280.5	3796.5357	NaN	NaN	NaN	NaN	80.5	2630.0	1055.0	7895
NaN	NaN	NaN	NaN	545.4	8622.025	280.4	3795.3036	NaN	NaN	NaN	NaN	80.4	2550.0	1054.0	7580
NaN	NaN	NaN	NaN	545.3	8569.95	280.3	3789.5179	NaN	NaN	NaN	NaN	80.3	2605.0	1053.0	7835
NaN	NaN	NaN	NaN	545.2	8504.275	280.2	3769.5179	NaN	NaN	NaN	NaN	80.2	2546.875	1052.0	7870
NaN	NaN	NaN	NaN	545.1	8464.075	280.1	3789.875	NaN	NaN	NaN	NaN	80.1	2579.375	1051.0	7300
NaN	NaN	NaN	NaN	545.0	8411.05	280.0	3789.8393	NaN	NaN	NaN	NaN	80.0	2649.375	1050.0	7415
NaN	NaN	NaN	NaN	544.9	8345.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1049.0	7510
NaN	NaN	NaN	NaN	544.8	8249.375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1048.0	7390
NaN	NaN	NaN	NaN	544.7	8229.175	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1047.0	7230
NaN	NaN	NaN	NaN	544.6	8165.425	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1046.0	7495
NaN	NaN	NaN	NaN	544.5	8120.825	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1045.0	7315
NaN	NaN	NaN	NaN	544.4	8050.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1044.0	7565
NaN	NaN	NaN	NaN	544.3	8014.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1043.0	7625
NaN	NaN	NaN	NaN	544.2	7952.05	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1042.0	7600
NaN	NaN	NaN	NaN	544.1	7900.475	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1041.0	7635
NaN	NaN	NaN	NaN	544.0	7851.925	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1040.0	7680
NaN	NaN	NaN	NaN	543.9	7823.575	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1039.0	7475
NaN	NaN	NaN	NaN	543.8	7766.725	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1038.0	7630
NaN	NaN	NaN	NaN	543.7	7714.525	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1037.0	7245
NaN	NaN	NaN	NaN	543.6	7662.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1036.0	7595
NaN	NaN	NaN	NaN	543.5	7619.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1035.0	6955
NaN	NaN	NaN	NaN	543.4	7564.025	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1034.0	7115
NaN	NaN	NaN	NaN	543.3	7523.675	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1033.0	7070
NaN	NaN	NaN	NaN	543.2	7498.95	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1032.0	7280
NaN	NaN	NaN	NaN	543.1	7440.85	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1031.0	7515
NaN	NaN	NaN	NaN	543.0	7443.075	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1030.0	7235
NaN	NaN	NaN	NaN	542.9	7372.95	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1029.0	7035
NaN	NaN	NaN	NaN	542.8	7345.375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1028.0	7355
NaN	NaN	NaN	NaN	542.7	7338.85	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1027.0	7500
NaN	NaN	NaN	NaN	542.6	7299.55	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1026.0	7115
NaN	NaN	NaN	NaN	542.5	7250.15	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1025.0	7475
NaN	NaN	NaN	NaN	542.4	7212.725	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1024.0	7515
NaN	NaN	NaN	NaN	542.3	7211.675	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1023.0	7225
NaN	NaN	NaN	NaN	542.2	7176.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1022.0	7270
NaN	NaN	NaN	NaN	542.1	7146.075	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1021.0	6695
NaN	NaN	NaN	NaN	542.0	7118.575	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1020.0	7075
NaN	NaN	NaN	NaN	541.9	7098.125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1019.0	7280
NaN	NaN	NaN	NaN	541.8	7063.175	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1018.0	6920
NaN	NaN	NaN	NaN	541.7	7048.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1017.0	7405
NaN	NaN	NaN	NaN	541.6	7037.925	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1016.0	7385
NaN	NaN	NaN	NaN	541.5	7024.675	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1015.0	7665
NaN	NaN	NaN	NaN	541.4	6983.65	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1014.0	7265
