O_1s_(2)_BE	O_1s_(2)_cps	O_1s_BE	O_1s_cps	C_1s_BE	C_1s_cps	N_1s_BE	N_1s_cps	Cl_2p_BE	Cl_2p_cps	Au_4f_BE	Au_4f_cps	Ba_3d_BE	Ba_3d_cps	overview_BE	overview_cps	
NaN	NaN	545.9	9558.0	280.9	3975.3125	NaN	NaN	NaN	NaN	80.9	2887.5	NaN	NaN	1059.0	8290
NaN	NaN	545.8	9525.5	280.8	3986.4375	NaN	NaN	NaN	NaN	80.8	2851.25	NaN	NaN	1058.0	8270
NaN	NaN	545.7	9507.75	280.7	3955.625	NaN	NaN	NaN	NaN	80.7	2751.25	NaN	NaN	1057.0	8180
NaN	NaN	545.6	9422.875	280.6	3963.875	NaN	NaN	NaN	NaN	80.6	2823.75	NaN	NaN	1056.0	8285
NaN	NaN	545.5	9369.75	280.5	3987.1875	NaN	NaN	NaN	NaN	80.5	2796.25	NaN	NaN	1055.0	8350
NaN	NaN	545.4	9257.0	280.4	3969.625	NaN	NaN	NaN	NaN	80.4	2696.25	NaN	NaN	1054.0	8235
NaN	NaN	545.3	9221.875	280.3	3978.625	NaN	NaN	NaN	NaN	80.3	2797.5	NaN	NaN	1053.0	7830
NaN	NaN	545.2	9213.25	280.2	3960.875	NaN	NaN	NaN	NaN	80.2	2735.0	NaN	NaN	1052.0	8025
NaN	NaN	545.1	9086.5	280.1	3985.8125	NaN	NaN	NaN	NaN	80.1	2766.25	NaN	NaN	1051.0	8055
NaN	NaN	545.0	9038.0	280.0	3952.875	NaN	NaN	NaN	NaN	80.0	2753.75	NaN	NaN	1050.0	8030
NaN	NaN	544.9	8951.375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1049.0	8040
NaN	NaN	544.8	8887.375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1048.0	8050
NaN	NaN	544.7	8868.125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1047.0	8115
NaN	NaN	544.6	8806.75	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1046.0	7740
NaN	NaN	544.5	8716.25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1045.0	7965
NaN	NaN	544.4	8673.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1044.0	7900
NaN	NaN	544.3	8656.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1043.0	8210
NaN	NaN	544.2	8508.75	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1042.0	8025
NaN	NaN	544.1	8467.125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1041.0	7960
NaN	NaN	544.0	8442.625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1040.0	7960
NaN	NaN	543.9	8364.125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1039.0	7865
NaN	NaN	543.8	8294.625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1038.0	7920
NaN	NaN	543.7	8250.75	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1037.0	8100
