Ba_3d_BE	Ba_3d_cps	O_1s_(2)_BE	O_1s_(2)_cps	O_1s_BE	O_1s_cps	C_1s_BE	C_1s_cps	N_1s_BE	N_1s_cps	Cl_2p_BE	Cl_2p_cps	Au_4f_BE	Au_4f_cps	overview_BE	overview_cps	
NaN	NaN	NaN	NaN	544.0	8202.625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1040.0	7585
NaN	NaN	NaN	NaN	543.9	8106.625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1039.0	7445
NaN	NaN	NaN	NaN	543.8	8101.625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1038.0	7710
NaN	NaN	NaN	NaN	543.7	8033.375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1037.0	7740
NaN	NaN	NaN	NaN	543.6	7947.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1036.0	7675
NaN	NaN	NaN	NaN	543.5	7935.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1035.0	7385
NaN	NaN	NaN	NaN	543.4	7940.875	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1034.0	7550
NaN	NaN	NaN	NaN	543.3	7932.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1033.0	7615
NaN	NaN	NaN	NaN	543.2	7825.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1032.0	7835
NaN	NaN	NaN	NaN	543.1	7715.625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1031.0	7560
NaN	NaN	NaN	NaN	543.0	7672.125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1030.0	7480
NaN	NaN	NaN	NaN	542.9	7743.75	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1029.0	7935
NaN	NaN	NaN	NaN	542.8	7610.625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1028.0	7375
NaN	NaN	NaN	NaN	542.7	7635.375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1027.0	7525
NaN	NaN	NaN	NaN	542.6	7583.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1026.0	7490
NaN	NaN	NaN	NaN	542.5	7562.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1025.0	7610
NaN	NaN	NaN	NaN	542.4	7491.625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1024.0	7390
NaN	NaN	NaN	NaN	542.3	7469.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1023.0	7455
NaN	NaN	NaN	NaN	542.2	7445.25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1022.0	7620
NaN	NaN	NaN	NaN	542.1	7473.375	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1021.0	7635
