path=/Users/pabloherrero/sabat/xps_spectra/FBI_Cu/G2_Cu/2022_06_30_G2SL/20220630_Cu_G2SL_subl_90min_lowstep.xy
delimiters=([44, 275, 474, 675, 806, 1015, 1427], [201, 169, 171, 101, 179, 382, 7018], ['Si_2p', 'O_1s', 'N_1s', 'Si_2s', 'C_1s', 'Cu_2p', 'survey_hd'])
name=G2SL 90min_lowstep
label=20220630_Cu_G2SL_subl_90min_lowstep
date=20.22.0630
other_meta=Cu_G2SL_subl_90min_lowstep
area=
fit={}
color=
dfx=
range,Si_2p,Si_2p,O_1s,O_1s,N_1s,N_1s,Si_2s,Si_2s,C_1s,C_1s,Cu_2p,Cu_2p,survey_hd,survey_hd,C_1s_bg,C_1s_bg,O_1s_bg,O_1s_bg,N_1s_bg,N_1s_bg,Si_2p_bg,Si_2p_bg,Si_2s_bg,Si_2s_bg,Cu_2p_bg,Cu_2p_bg
properties,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts,energy,counts
47,102.01,0.36757632670539575,532.21,1.1025050330284927,402.3,0.12510692426036307,155.3,0.007511422611340635,287.21,1.1541442747544064,955.3,30.017044492879563,1390.6,67.175872,287.21,3.4289449252455935,532.21,2.6922495669715074,402.3,2.910745675739637,102.01,4.920585173294604,155.3,4.68429007738866,955.3,104.23899550712045
48,101.91,0.37869317309603723,532.11,1.129687602503013,402.2,0.13512972671834644,155.2,0.06012628084144733,287.11,1.2724600446839038,955.2,32.4923853384517,1390.4,64.809976,287.11,3.4269388553160964,532.11,2.684769697496987,402.2,2.9105209732816535,101.91,4.919190226903963,155.2,4.687482719158552,955.2,104.0650946615483
49,101.81,0.4203416497587744,532.01,1.1249390462811046,402.1,0.1316120461111452,155.1,0.10445196307266347,287.01,1.310140776675825,955.1,34.71696132350357,1390.2,63.905523,287.01,3.4248038233241753,532.01,2.677214653718895,402.1,2.910290653888855,101.81,4.917696650241226,155.1,4.690696636927337,955.1,103.87811867649643
50,101.71,0.4872636691537924,531.91,1.1615355094410376,402.0,0.1594824930239449,155.0,0.10639200662691817,286.91,1.4074695207901828,955.0,36.76743045754844,1390.0,63.802565,286.91,3.4225571792098175,531.91,2.6695528905589625,402.0,2.910039306976055,101.71,4.916000130846208,155.0,4.693932693373082,955.0,103.67924954245154
51,101.61,0.4507147627318586,531.81,1.161200481300673,401.9,0.15008038653894085,154.9,0.031836044374180084,286.81,1.4192647775468403,954.9,42.90454740546511,1389.8,64.068043,286.81,3.4202203224531598,531.81,2.661769618699327,401.9,2.909772013461059,101.61,4.914246837268141,154.9,4.69719185562582,954.9,103.4576025945349
52,101.51,0.41827169472418735,531.71,1.1651960191949269,401.8,0.13667188427210197,154.8,-0.02023549720758666,286.71,1.5660384229660096,954.8,48.5374183871491,1389.6,65.073453,286.71,3.417752377033991,531.71,2.653974080805073,401.8,2.909524415727898,101.51,4.912622505275813,154.8,4.700475197207586,954.8,103.20321161285091
53,101.41,0.42398245798258305,531.61,1.1386844078297695,401.7,0.18209682674837468,154.7,0.06067657652353997,286.61,1.7060930888937884,954.7,52.14665084351158,1389.4,63.162319,286.61,3.4150473111062114,531.61,2.6462539921702306,401.7,2.9092491732516255,101.41,4.911048142017417,154.7,4.70378382347646,954.7,102.92310915648842
54,101.31,0.43390654627785974,531.51,1.1138465291100528,401.6,0.19181198013065925,154.6,0.0328326635237044,286.51,1.8010080038015706,954.6,57.29476618736098,1389.2,64.406864,286.51,3.412147996198429,531.51,2.6387059708899474,401.6,2.908926319869341,101.31,4.90944455372214,154.6,4.707116836476295,954.6,102.61864381263902
55,101.21,0.4304006315579567,531.41,1.0450478831214576,401.5,0.23586495979070987,154.5,0.05007020107248117,286.41,2.00360767354272,954.5,63.304322103799564,1389.0,64.597187,286.41,3.40900272645728,531.41,2.6314717168785426,401.5,2.90855704020929,101.21,4.907828968442043,154.5,4.710473398927519,954.5,102.28313789620043
56,101.11,0.467157370098632,531.31,0.9845188722046085,401.4,0.22016201842262584,154.4,0.05144439361677655,286.31,2.242483910709015,954.4,71.27557253728415,1388.8,63.378621,286.31,3.4054924892909852,531.31,2.6246708277953914,401.4,2.9081632815773744,101.11,4.906151229901368,154.4,4.713852706383223,954.4,101.90873746271586
